,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,Sample_specificity,FC,Reported_comp_Species,Reported_comp_Genus,LC,SC,New_in_species,New_in_genus,CC,PR
48,LQ-01-61-03_pos.mzXML,Catha edulis,Catha edulis|Roots,0.5093167701863354,0.484472049689441,133,133.0,0,1.0,"{'Pyranocoumarins', 'Cembrane diterpenoids', 'Oleanane triterpenoids', 'Simple coumarins', 'Triketide meroterpenoids', 'Abeolupane triterpenoids', 'Corynanthe type', 'Kaurane and Phyllocladane diterpenoids', 'Lupane triterpenoids', 'Prostaglandins', 'Furocoumarins', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Vitamin D2 and derivatives', 'Tetraketide meroterpenoids', 'Apocarotenoids (β-)', 'Eudesmane sesquiterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Isocoumarins', 'Primary amides', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Ergostane steroids', 'Pyrimidine nucleosides', 'Cyanogenic glycosides', 'Apocarotenoids(ε-)', 'Dipeptides', 'Amino cyclitols', 'Linear diarylheptanoids'}","{'Pyranocoumarins', 'Cembrane diterpenoids', 'Oleanane triterpenoids', 'Simple coumarins', 'Triketide meroterpenoids', 'Abeolupane triterpenoids', 'Corynanthe type', 'Kaurane and Phyllocladane diterpenoids', 'Lupane triterpenoids', 'Prostaglandins', 'Furocoumarins', 'Ursane and Taraxastane triterpenoids', 'Tetraketide meroterpenoids', 'Vitamin D2 and derivatives', 'Germacrane sesquiterpenoids', 'Apocarotenoids (β-)', 'Eudesmane sesquiterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Isocoumarins', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Prenyl quinone meroterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Ergostane steroids', 'Pyrimidine nucleosides', 'Amino cyclitols', 'Cyanogenic glycosides', 'Apocarotenoids(ε-)', 'Dipeptides', 'Primary amides', 'Linear diarylheptanoids'}",1.0,2.4844720496894412
50,LQ-01-61-55_pos.mzXML,Maytenus undata,Maytenus undata|Stems,0.5218579234972678,0.4781420765027322,14,398.0,0,1.0,"{'Labdane diterpenoids', 'Chalcones', 'Abietane diterpenoids', 'Abeolupane triterpenoids', 'Lupane triterpenoids', 'Triketide meroterpenoids', 'Menthane monoterpenoids', 'Methyl xanthones', 'Ursane and Taraxastane triterpenoids', 'Open-chain polyketides', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Caryophyllane sesquiterpenoids', 'Monoacylglycerols', 'Valerenane sesquiterpenoids', 'Branched fatty acids', 'Furanoid lignans', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Lactones', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Arteminisin', 'Androstane steroids', 'Amino cyclitols', 'Monocyclic monoterpenoids', 'Dibenzylbutyrolactone lignans', 'Apocarotenoids (Ψ-)', 'Quinoline alkaloids', 'Cyclic peptides', 'Pyridine alkaloids', 'Primary amides', 'Cannabinoids'}","{'Labdane diterpenoids', 'Chalcones', 'Abietane diterpenoids', 'Abeolupane triterpenoids', 'Lupane triterpenoids', 'Triketide meroterpenoids', 'Menthane monoterpenoids', 'Methyl xanthones', 'Ursane and Taraxastane triterpenoids', 'Open-chain polyketides', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Caryophyllane sesquiterpenoids', 'Monoacylglycerols', 'Valerenane sesquiterpenoids', 'Primary amides', 'Branched fatty acids', 'Furanoid lignans', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Lactones', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Arteminisin', 'Androstane steroids', 'Monocyclic monoterpenoids', 'Dibenzylbutyrolactone lignans', 'Apocarotenoids (Ψ-)', 'Quinoline alkaloids', 'Cyclic peptides', 'Pyridine alkaloids', 'Amino cyclitols', 'Cannabinoids'}",1.0,2.478142076502732
51,LQ-01-61-72_pos.mzXML,Salacighia letestuana,Salacighia letestuana|Fruits,0.5033557046979866,0.4697986577181208,0,0.0,1,1.0,,,0.0,2.469798657718121
62,LQ-01-61-16_pos.mzXML,Euonymus alatus,Euonymus alatus|Leaves,0.49586776859504134,0.4214876033057851,1,515.0,1,0.0,"{'Anthocyanidins', 'Other Eicosanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Flavones', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Other Docosanoids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Amino fatty acids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Macrolide lactones', 'Estrane steroids', '3-Spirotetramic acids', 'Androstane steroids', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Pregnane steroids', 'Piperidine alkaloids'}","{'Anthocyanidins', 'Other Eicosanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Flavones', 'Other Octadecanoids', 'Other Docosanoids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Amino fatty acids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Macrolide lactones', 'Estrane steroids', '3-Spirotetramic acids', 'Androstane steroids', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Pregnane steroids', 'Piperidine alkaloids'}",1.0,2.421487603305785
64,LQ-01-61-35_pos.mzXML,Euonymus myrianthus,Euonymus myrianthus|Stems,0.5051020408163265,0.41836734693877553,0,0.0,1,1.0,,,0.0,2.4183673469387754
65,LQ-01-61-45_pos.mzXML,Gymnosporia buxifolia,Gymnosporia buxifolia|Bark,0.4852216748768473,0.41625615763546797,0,0.0,1,1.0,,,0.0,2.416256157635468
68,LQ-01-61-38_pos.mzXML,Euonymus sanguineus,Euonymus sanguineus|Stems,0.4339622641509434,0.4056603773584906,1,515.0,1,0.0,"{'Depsides and depsidones', 'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Hydroxy fatty acids', 'Menthane monoterpenoids', 'Cinnamic acids and derivatives', 'Polyether ionophores', 'Agarofuran sesquiterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Flavan-3-ols', 'Caryophyllane sesquiterpenoids', 'Shikimic acids and derivatives', 'Other Octadecanoids', 'Acyl phloroglucinols', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids'}","{'Shikimic acids and derivatives', 'Depsides and depsidones', 'Acyl phloroglucinols', 'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Simple coumarins', 'Other Octadecanoids', 'Cyanogenic glycosides', 'Prostaglandins', 'Aminoacids', 'Dipeptides', 'Quinoline alkaloids', 'Menthane monoterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Polyether ionophores', 'Daucane sesquiterpenoids', 'Caryophyllane sesquiterpenoids'}",1.0,2.4056603773584904
73,LQ-01-61-20_pos.mzXML,Euonymus maackii,Euonymus maackii|Stems,0.4642857142857143,0.39285714285714285,4,515.0,1,0.0,"{'Labdane diterpenoids', 'Oleanane triterpenoids', 'Purine nucleotides', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Ursane and Taraxastane triterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Germacrane sesquiterpenoids', 'Flavones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Hydrocarbons', 'Rotenoids', 'Unsaturated fatty acids', 'Monoacylglycerols', 'Triacylglycerols', 'Flavanones', 'Bisabolane sesquiterpenoids', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Lactones', 'Sphingoid bases', 'Purine alkaloids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Ergostane steroids', 'Dibenzylbutyrolactone lignans', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Cardenolides', 'Iridoids monoterpenoids', 'Pyridine alkaloids', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Germacrane sesquiterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Hydrocarbons', 'Other Octadecanoids', 'Flavones', 'Rotenoids', 'Monoacylglycerols', 'Triacylglycerols', 'Flavanones', 'Bisabolane sesquiterpenoids', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Lactones', 'Sphingoid bases', 'Purine alkaloids', 'Imidazole alkaloids', 'Cholane steroids', 'Fatty aldehydes', 'Ergostane steroids', 'Dibenzylbutyrolactone lignans', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Iridoids monoterpenoids', 'Primary amides', 'Purine nucleotides'}",1.0,2.392857142857143
74,LQ-01-61-20_pos.mzXML,Euonymus maackii,Euonymus maackii|Stems,0.4642857142857143,0.39285714285714285,4,515.0,1,0.0,"{'Labdane diterpenoids', 'Oleanane triterpenoids', 'Purine nucleotides', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Ursane and Taraxastane triterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Germacrane sesquiterpenoids', 'Flavones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Hydrocarbons', 'Rotenoids', 'Unsaturated fatty acids', 'Monoacylglycerols', 'Triacylglycerols', 'Flavanones', 'Bisabolane sesquiterpenoids', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Lactones', 'Sphingoid bases', 'Purine alkaloids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Imidazole alkaloids', 'Cholane steroids', 'Ergostane steroids', 'Dibenzylbutyrolactone lignans', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Cardenolides', 'Iridoids monoterpenoids', 'Pyridine alkaloids', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Germacrane sesquiterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Hydrocarbons', 'Other Octadecanoids', 'Flavones', 'Rotenoids', 'Monoacylglycerols', 'Triacylglycerols', 'Flavanones', 'Bisabolane sesquiterpenoids', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Dicarboxylic acids', 'Simple phenolic acids', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Lactones', 'Sphingoid bases', 'Purine alkaloids', 'Imidazole alkaloids', 'Cholane steroids', 'Fatty aldehydes', 'Ergostane steroids', 'Dibenzylbutyrolactone lignans', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Iridoids monoterpenoids', 'Primary amides', 'Purine nucleotides'}",1.0,2.392857142857143
80,LQ-01-61-39_pos.mzXML,Euonymus sanguineus,Euonymus sanguineus|Leaves,0.38144329896907214,0.36082474226804123,1,515.0,1,0.0,"{'Sphingoid bases', 'Oleanane triterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Aminosugars', 'Ceramides', 'Prostaglandins', 'Flavonols', 'Polyamines', 'Furocoumarins', 'Cinnamic acids and derivatives', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Cholane steroids', 'Purine nucleosides', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Cucurbitane triterpenoids', 'Nitro fatty acids', 'Primary amides', 'Cholestane steroids', 'Jasmonic acids', 'Dicarboxylic acids', 'Dammarane and Protostane triterpenoids', 'Pregnane steroids'}","{'Lupane triterpenoids', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Ceramides', 'Prostaglandins', 'Polyamines', 'Furocoumarins', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Dicarboxylic acids', 'Pregnane steroids', 'Sphingoid bases', 'Aminosugars', 'Cholane steroids', 'Cucurbitane triterpenoids', 'Jasmonic acids', 'Dammarane and Protostane triterpenoids', 'Primary amides'}",1.0,2.3608247422680413
84,LQ-01-61-30_pos.mzXML,Euonymus alatus,Euonymus alatus|Leaves,0.36619718309859156,0.33098591549295775,1,515.0,1,0.0,"{'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Dihydroflavonols', 'Prostaglandins', 'Methyl xanthones', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Other Docosanoids', 'Primary amides', 'Flavanones', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Zearalenones', 'Dicarboxylic acids', 'Simple phenolic acids', 'Sphingoid bases', 'Fatty alcohols', 'Polyether ionophores', 'Cholane steroids', 'Hydroxy-hydroperoxyeicosatrienoic acids', 'Pregnane steroids', 'Erythromycins'}","{'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Dihydroflavonols', 'Prostaglandins', 'Methyl xanthones', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Other Docosanoids', 'Flavanones', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Zearalenones', 'Dicarboxylic acids', 'Simple phenolic acids', 'Pregnane steroids', 'Sphingoid bases', 'Fatty alcohols', 'Polyether ionophores', 'Cholane steroids', 'Hydroxy-hydroperoxyeicosatrienoic acids', 'Primary amides', 'Erythromycins'}",1.0,2.330985915492958
87,LQ-01-61-25_pos.mzXML,Euonymus dielsianus,Euonymus dielsianus|Stems,0.3119266055045872,0.2889908256880734,0,0.0,1,1.0,,,0.0,2.2889908256880735
3,LQ-01-61-60_pos.mzXML,Mystroxylon aethiopicum,Mystroxylon aethiopicum|Bark,0.8210526315789474,0.8052631578947368,0,0.0,1,0.0,,,0.0,1.805263157894737
5,LQ-01-61-27_pos.mzXML,Euonymus fortunei,Euonymus fortunei|Aerial_parts,0.8951612903225806,0.782258064516129,23,515.0,0,0.0,"{'Chalcones', 'Oleanane triterpenoids', 'Fatty alcohols', 'Phenylalanine-derived alkaloids', 'Lupane triterpenoids', 'Purine alkaloids', 'Ursane and Taraxastane triterpenoids', 'Cinnamic acids and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Cucurbitane triterpenoids', 'Linear polyenes', 'Primary amides', 'Flavanones', 'Ecdysteroids', 'Picrotoxane sesquiterpenoids', 'Cyanogenic glycosides', '2-pyrone derivatives', 'Dipeptides', 'Megastigmanes', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Pregnane steroids', 'Simple phenolic acids', 'Secoiridoid monoterpenoids', 'Piperidine alkaloids'}","{'Chalcones', 'Phenylalanine-derived alkaloids', 'Lupane triterpenoids', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Other Octadecanoids', 'Flavanones', 'Ecdysteroids', 'Picrotoxane sesquiterpenoids', '2-pyrone derivatives', 'Dicarboxylic acids', 'Simple phenolic acids', 'Pregnane steroids', 'Fatty alcohols', 'Purine alkaloids', 'Piperidine alkaloids', 'Cucurbitane triterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Megastigmanes', 'Iridoids monoterpenoids', 'Secoiridoid monoterpenoids', 'Primary amides', 'Linear polyenes'}",1.0,1.782258064516129
11,LQ-01-61-57_pos.mzXML,Microtropis triflora,Microtropis triflora|Roots,0.8166666666666667,0.7,15,214.0,0,0.0,"{'Sphingoid bases', 'Oleanane triterpenoids', 'Fatty alcohols', 'Kaurane and Phyllocladane diterpenoids', 'Ceramides', 'Irregular monoterpenoids', 'Dibenzylbutane lignans', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Caryophyllane sesquiterpenoids', 'Polyprenylated cyclic polyketides (Hop meroterpenoids)', 'Arteminisin', 'Fusidane triterpenoids', 'Cholestane steroids', 'Dibenzylbutyrolactone lignans', 'Drimane sesquiterpenoids', 'Dipeptides', 'Dicarboxylic acids', 'Dammarane and Protostane triterpenoids', 'Primary amides', 'Eremophilane sesquiterpenoids'}","{'Sphingoid bases', 'Oleanane triterpenoids', 'Fatty alcohols', 'Kaurane and Phyllocladane diterpenoids', 'Ceramides', 'Irregular monoterpenoids', 'Dibenzylbutane lignans', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Caryophyllane sesquiterpenoids', 'Polyprenylated cyclic polyketides (Hop meroterpenoids)', 'Arteminisin', 'Fusidane triterpenoids', 'Cholestane steroids', 'Dibenzylbutyrolactone lignans', 'Drimane sesquiterpenoids', 'Dipeptides', 'Dicarboxylic acids', 'Dammarane and Protostane triterpenoids', 'Primary amides', 'Eremophilane sesquiterpenoids'}",1.0,1.7
12,LQ-01-61-42_pos.mzXML,Loeseneriella concinna,Loeseneriella concinna|Leaves,0.7087378640776699,0.6893203883495146,0,0.0,1,0.0,,,0.0,1.6893203883495147
18,LQ-01-61-68_pos.mzXML,Salacia cochinchinensis,Salacia cochinchinensis|Leaves,0.6578947368421053,0.6447368421052632,0,0.0,1,0.0,,,0.0,1.6447368421052633
20,LQ-01-61-09_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Bark,0.6857142857142857,0.6428571428571429,85,910.0,0,0.0,"{'Kavalactones and derivatives', 'Simple coumarins', 'Cholestane steroids', 'Cholane steroids', 'Prostaglandins', 'Wax monoesters', 'Dicarboxylic acids', 'Primary amides', 'Simple phenolic acids', 'Straight chain fatty acids', 'Piperidine alkaloids'}","{'Kavalactones and derivatives', 'Simple coumarins', 'Cholestane steroids', 'Prostaglandins', 'Straight chain fatty acids', 'Wax monoesters', 'Dicarboxylic acids', 'Primary amides', 'Cholane steroids', 'Piperidine alkaloids'}",1.0,1.6428571428571428
21,LQ-01-61-40_pos.mzXML,Loeseneriella urceolus,Loeseneriella urceolus|Leaves,0.6525821596244131,0.6291079812206573,0,0.0,1,0.0,,,0.0,1.6291079812206573
24,LQ-01-61-33_pos.mzXML,Euonymus frigidus,Euonymus frigidus|Leaves,0.680327868852459,0.610655737704918,0,0.0,1,0.0,,,0.0,1.610655737704918
25,LQ-01-61-69_pos.mzXML,Salacia cochinchinensis,Salacia cochinchinensis|Branche,0.7433628318584071,0.6106194690265486,0,0.0,1,0.0,,,0.0,1.6106194690265485
26,LQ-01-61-58_pos.mzXML,Microtropis triflora,Microtropis triflora|Stems,0.6519607843137255,0.6029411764705882,15,214.0,0,0.0,"{'Oleanane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Kaurane and Phyllocladane diterpenoids', 'Aminoacids', 'Taxane diterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Monoacylglycerols', '12-oxophytodienoic acid metabolites', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Diacylglycerols', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Fatty alcohols', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Estrane steroids', 'Polyether ionophores', 'Agarofuran sesquiterpenoids', 'Cucurbitane triterpenoids', 'Fusidane triterpenoids', 'Androstane steroids', 'Cyanogenic glycosides', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Cardenolides', 'Pyridine alkaloids', 'Pregnane steroids'}","{'Oleanane triterpenoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Kaurane and Phyllocladane diterpenoids', 'Aminoacids', 'Taxane diterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Monoacylglycerols', '12-oxophytodienoic acid metabolites', 'N-acyl ethanolamines (endocannabinoids)', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Diacylglycerols', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Pregnane steroids', 'Fatty alcohols', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Trichothecane sesquiterpenoids', 'Cinnamic acids and derivatives', 'Estrane steroids', 'Polyether ionophores', 'Agarofuran sesquiterpenoids', 'Cucurbitane triterpenoids', 'Fusidane triterpenoids', 'Androstane steroids', 'Cyanogenic glycosides', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Cardenolides', 'Pyridine alkaloids', 'Primary amides'}",1.0,1.6029411764705883
28,LQ-01-61-51_pos.mzXML,Gymnosporia graciliramula,Gymnosporia graciliramula|Aerial_parts,0.6504065040650406,0.5934959349593496,0,0.0,1,0.0,,,0.0,1.5934959349593496
30,LQ-01-61-15_pos.mzXML,Euonymus alatus,Euonymus alatus|Stems,0.7096774193548387,0.5806451612903226,93,515.0,0,0.0,"{'Prostaglandins', 'Aminoacids', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Amino fatty acids', 'Isoflavones', 'Flavones'}","{'Prostaglandins', 'Aminoacids', 'Quinoline alkaloids', 'Amino fatty acids', 'Iridoids monoterpenoids', 'Isoflavones', 'Flavones'}",1.0,1.5806451612903225
31,LQ-01-61-14_pos.mzXML,Evonymopsis sp,Evonymopsis sp|Underground_parts,0.6206030150753769,0.5778894472361809,0,0.0,1,0.0,,,0.0,1.5778894472361809
33,LQ-01-61-08_pos.mzXML,Celastrus paniculatus,Celastrus paniculatus|Leaves,0.696969696969697,0.5757575757575758,85,910.0,0,0.0,"{'Labdane diterpenoids', '12-oxophytodienoic acid metabolites', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Quinazoline alkaloids', 'Aminoacids', 'Apocarotenoids (β-)'}","{'Labdane diterpenoids', '12-oxophytodienoic acid metabolites', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Quinazoline alkaloids', 'Aminoacids', 'Apocarotenoids (β-)'}",1.0,1.5757575757575757
35,LQ-01-61-29_pos.mzXML,Euonymus alatus,Euonymus alatus|Bark,0.624113475177305,0.5673758865248227,93,515.0,0,0.0,"{'Lupane triterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Unsaturated fatty acids', 'Primary amides', 'Cholestane steroids', 'Spirostane steroids', 'Simple phenolic acids', 'Lactarane sesquiterpenoids', 'Depsides and depsidones', 'Cholane steroids', 'Aflatoxins', 'Cyanogenic glycosides', 'Dipeptides', 'Dammarane and Protostane triterpenoids', 'Pregnane steroids'}","{'Lupane triterpenoids', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Aminoacids', 'Germacrane sesquiterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Unsaturated fatty acids', 'Cholestane steroids', 'Spirostane steroids', 'Simple phenolic acids', 'Lactarane sesquiterpenoids', 'Pregnane steroids', 'Depsides and depsidones', 'Cholane steroids', 'Aflatoxins', 'Cyanogenic glycosides', 'Dipeptides', 'Dammarane and Protostane triterpenoids', 'Primary amides'}",1.0,1.5673758865248226
37,LQ-01-61-63_pos.mzXML,Pleurostylia pachyphloea,Pleurostylia pachyphloea|Stems,0.6305220883534136,0.5542168674698795,0,0.0,1,0.0,,,0.0,1.5542168674698795
38,LQ-01-61-44_pos.mzXML,Gymnosporia buchananii,Gymnosporia buchananii|Stems,0.5895953757225434,0.5491329479768786,25,292.0,0,0.0,"{'Oleanane triterpenoids', 'Neutral glycosphingolipids', 'Lupane triterpenoids', 'Corynanthe type', 'Kaurane and Phyllocladane diterpenoids', 'Ursane and Taraxastane triterpenoids', 'Vitamin D2 and derivatives', 'Apocarotenoids (β-)', 'Agarofuran sesquiterpenoids', 'Unsaturated fatty acids', 'Hydrocarbons', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Androstane steroids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Humulane sesquiterpenoids', 'Monocyclic monoterpenoids', 'Primary amides', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Dipeptides', 'Cyclic peptides', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Pregnane steroids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids'}","{'Lupane triterpenoids', 'Corynanthe type', 'Kaurane and Phyllocladane diterpenoids', 'Ursane and Taraxastane triterpenoids', 'Vitamin D2 and derivatives', 'Apocarotenoids (β-)', 'Hydrocarbons', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Cholestane steroids', 'Drimane sesquiterpenoids', 'Pimarane and Isopimarane diterpenoids', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Pregnane steroids', 'Neutral glycosphingolipids', 'Agarofuran sesquiterpenoids', 'Androstane steroids', 'Humulane sesquiterpenoids', 'Monocyclic monoterpenoids', 'Dipeptides', 'Cyclic peptides', 'Primary amides'}",1.0,1.5491329479768785
